References,Value,Footprint,Quantity,Unit_Price_Est_USD,Total_Est_USD,Supplier_Part_Number,Notes
R2,1.5k,R_0402_1005Metric,1,,,,
R11,10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,,,,
C3,120p,C_0402_1005Metric,1,,,,
C2,120pF,C_0402_1005Metric,1,,,,
"C5,C6,C7,C9",1u,C_0402_1005Metric,4,,,,
"C1,C4",2.2u,C_1206_3216Metric,2,,,,
C8,22u,C_0603_1608Metric,1,,,,
R5,3.0,R_0402_1005Metric,1,,,,
R23,30,R_0402_1005Metric,1,,,,
L1,33nH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,,,
R1,50,R_0402_1005Metric,1,,,,
L2,560nH,L_0603_1608Metric,1,,,,
R7,5k,R_0402_1005Metric,1,,,,
R3,68,R_0402_1005Metric,1,,,,
J2,Conn_Coaxial,SMB_Jack_Vertical,1,,,,
U1,OPA847IDBVT,OPA847IDBVT,1,,,,
D2,S14160-30,S14160-30,1,,,,
J1,SSQ-103-01-G-D,PinHeader_2x03_P2.54mm_Vertical,1,,,,
